
30-01-2017,-100,Deleviroo
30-01-2017,-50,Tesco
01-02-2017,6000,Salary
02-02-2017,2000,Royalties
02-02-2017,-4000,Rent
03-02-2017,3000,Tesco
05-02-2017,-30,Cinema
06-02-2017,-15,Spotify
07-02-2017,-300,Supermarket
07-02-2017,-15,Spotify
08-02-2017,-40,Mobile Top-up
08-02-2017,-45,Gas Station
09-02-2017,150,Marketplace Sale
09-02-2017,500,Salary
10-02-2017,-80,Uber
10-02-2017,1000,Tax Refund
11-02-2017,-30,Cinema
11-02-2017,500,Freelance
12-02-2017,-200,Amazon
12-02-2017,-40,Mobile Top-up
13-02-2017,-60,Internet
13-02-2017,500,Salary
14-02-2017,-200,Amazon
14-02-2017,-300,Supermarket
15-02-2017,-25,Steam
15-02-2017,-25,Steam
16-02-2017,-300,Supermarket
16-02-2017,-300,Supermarket
17-02-2017,-45,Gas Station
17-02-2017,500,Freelance
18-02-2017,150,Marketplace Sale
18-02-2017,-25,Steam
19-02-2017,-25,Steam
19-02-2017,-45,Gas Station
20-02-2017,150,Marketplace Sale
20-02-2017,-100,Deleviroo
21-02-2017,-40,Mobile Top-up
21-02-2017,-100,Deleviroo
22-02-2017,-30,Cinema
22-02-2017,-40,Mobile Top-up
23-02-2017,500,Salary
23-02-2017,-200,Amazon
24-02-2017,-120,Pharmacy
24-02-2017,150,Marketplace Sale
25-02-2017,-120,Pharmacy
25-02-2017,-50,Tesco
26-02-2017,-50,Tesco
26-02-2017,-45,Gas Station
27-02-2017,-200,Amazon
27-02-2017,-45,Gas Station
28-02-2017,-45,Gas Station
28-02-2017,-50,Tesco
01-03-2017,-80,Uber
01-03-2017,-25,Steam
02-03-2017,-120,Pharmacy
02-03-2017,-120,Pharmacy
03-03-2017,-45,Gas Station
